Domain;Country;Element;Item;Year;Unit;Value
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;55.66
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;53.83
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;56.1
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;52.26
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;55.12
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;54.07
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;52.72
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;48.2
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;52.56
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;17.97
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;18.44
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;17.03
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;17.67
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;17.12
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;17.66
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;19.08
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;19.19
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;19.26
Food Supply - Livestock and Fish Primary Equivalent;Austria;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;18.61
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;17.9
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;21.55
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;22.79
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;22.19
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;21.34
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;20.35
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;18.64
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;20.38
